Technique ID,Tactic (v19),Score,Coverage Level,Detection Notes
T1543.003,persistence,2,Single-phase detection,"Windows Service. [v4 NEW] Service ImagePath/ServiceDll written from staging paths or random-named keys, incl. PsExec service pattern (v4 Query 6)."
T1547.005,persistence,2,Single-phase detection,Security Support Provider. [v4 NEW] Malicious SSP DLL injected into LSASS via Lsa\Security Packages registry write (v4 Query 12).
T1027,stealth,3,High-fidelity / capstone,Obfuscated Files or Information - covered by v2 Encoded PowerShell scoring rule. [v19: moved to Stealth]
T1027.010,stealth,3,High-fidelity / capstone,Command Obfuscation - explicitly scored by Encoded PowerShell query. [v19: Stealth tactic]
T1036,stealth,2,Single-phase detection,Masquerading - .gif rename trick caught by FileRenamed query. [v19: Stealth tactic]
T1036.005,stealth,2,Single-phase detection,Match Legitimate Name or Location - archive renamed to image extension. [v19: Stealth]
T1036.008,stealth,2,Single-phase detection,Masquerade File Type - .dit hiding as .gif. [v19: Stealth]
T1218,stealth,2,Single-phase detection,System Binary Proxy Execution - wmic call create caught by capstone. [v19: Stealth tactic]
T1564,stealth,0,Blind spot,Hide Artifacts. Not specifically covered. [v19: Stealth tactic]
T1112,stealth,3,High-fidelity / capstone,"Modify Registry. [v4 NEW] CISA AA24-038A tags the netsh PortProxy registry modification as [T1112]; the v4 pack detects PortProxy, Defender, NTDS, audit, autorun, service, task, WinRM and RDP registry writes (v4 Queries 1-11)."
T1070,defense-impairment,2,Single-phase detection,Indicator Removal. [v4 UPLIFT 0->2] Event-log channel / audit policy disable via registry detected (v4 Query 4).
T1070.001,defense-impairment,2,Single-phase detection,Clear Windows Event Logs. [v4 UPLIFT 0->2] Per-channel WINEVT Enabled=0 and Autologger stop detected via registry (v4 Query 4).
T1685,defense-impairment,2,Single-phase detection,Disable or Modify Tools. [v4 UPLIFT 0->2] Defender policy flips + WinDefend/Sense/WdNisSvc service Start=4 disable via registry (v4 Query 5). [v19: replaces retired T1562/.001/.006]
T1562.002,defense-impairment,2,Single-phase detection,Disable Windows Event Logging. [v4 NEW] EventLog channel / Autologger / LSA audit weakening via registry (v4 Query 4). [v19: survives the T1562 split as standalone Defense Impairment technique]
T1003,credential-access,3,High-fidelity / capstone,OS Credential Dumping - parent technique. Multiple sub-techniques covered.
T1003.003,credential-access,3,High-fidelity / capstone,NTDS - ntdsutil IFM detection is high-fidelity. THE signature Volt Typhoon detection.
T1003.006,credential-access,3,High-fidelity / capstone,DCSync - covered by v2 Event 4662 + Schema-Id-GUID query. Essentially zero false positives.
T1003.001,credential-access,3,High-fidelity / capstone,"LSASS Memory. [v4 UPLIFT 1->3] Now multi-angle: behavioral handle-access (Sysmon EID10 / MDE OpenProcessApiCall, dump-capable GrantedAccess + unbacked call stack, v1 05c), cmdline dump LOLBins incl. handle-dup & .NET reflection (v1 05b), and registry enablers - WDigest downgrade / RunAsPPL disable / SSP injection (v4 12). Grounded in arXiv:2108.10422."
T1003.002,credential-access,2,Single-phase detection,Security Account Manager - reg save HKLM\SAM in alt-dump query.
T1003.004,credential-access,1,Hunting only / partial,LSA Secrets - reg save HKLM\SECURITY in alt-dump query.
T1552,credential-access,0,Blind spot,Unsecured Credentials. Not covered.
T1555,credential-access,0,Blind spot,Credentials from Password Stores. Not covered.
T1556.002,credential-access,2,Single-phase detection,Password Filter DLL. [v4 NEW] Notification Packages registry write loading a credential-capturing filter DLL (v4 Query 12).
T1087,discovery,2,Single-phase detection,Account Discovery - net group/net localgroup caught by Discovery query.
T1087.001,discovery,2,Single-phase detection,Local Account discovery.
T1087.002,discovery,2,Single-phase detection,Domain Account - net group /dom and net group Domain Admins.
T1016,discovery,2,Single-phase detection,System Network Configuration Discovery - ip-api.com / ipinfo.io / ipconfig.
T1018,discovery,1,Hunting only / partial,"Remote System Discovery - nltest, net view. Partial coverage."
T1082,discovery,2,Single-phase detection,"System Information Discovery - systeminfo, wmic logicaldisk."
T1057,discovery,2,Single-phase detection,Process Discovery - tasklist /svc.
T1049,discovery,1,Hunting only / partial,System Network Connections Discovery - netstat. Partial coverage.
T1033,discovery,1,Hunting only / partial,"System Owner/User Discovery - query user, whoami."
T1069.002,discovery,2,Single-phase detection,Domain Groups - net group Domain Admins enumeration.
T1021,lateral-movement,1,Hunting only / partial,Remote Services - RDP/SMB usage. Partial.
T1021.002,lateral-movement,2,Single-phase detection,SMB/Windows Admin Shares - Impacket pattern writing to ADMIN$.
T1021.006,lateral-movement,2,Single-phase detection,Windows Remote Management. [v4 UPLIFT 1->2] WinRM AllowAutoConfig/TrustedHosts/weak-auth enablement via registry (v4 Query 9).
T1570,lateral-movement,1,Hunting only / partial,Lateral Tool Transfer - SMB copy. Partial via file events.
T1021.001,lateral-movement,2,Single-phase detection,Remote Desktop Protocol. [v4 NEW] RDP enabled (fDenyTSConnections=0) / NLA disabled via registry (v4 Query 10).
T1560,collection,2,Single-phase detection,Archive Collected Data - 7zip/rar staging query.
T1560.001,collection,2,Single-phase detection,"Archive via Utility - 7z.exe, rar.exe with password (-mhe -p)."
T1005,collection,1,Hunting only / partial,Data from Local System. Partial.
T1090,command-and-control,3,High-fidelity / capstone,Proxy - netsh portproxy detection plus registry corroboration.
T1090.001,command-and-control,3,High-fidelity / capstone,Internal Proxy - the signature Volt Typhoon TTP. High-fidelity coverage.
T1090.003,command-and-control,2,Single-phase detection,Multi-hop Proxy. [v3 UPLIFT 1->2] KV-botnet beaconing on port 8443 detected via NetFlow Edge Query 4.
T1572,command-and-control,2,Single-phase detection,Protocol Tunneling. [v3 UPLIFT 1->2] FRP/Earthworm tunneling detected via outbound 8443 anomaly + DNS DDNS query (Edge Queries 4 + 5).
T1071.001,command-and-control,1,Hunting only / partial,Web Protocols. [v3 UPLIFT 0->1] Partial via DNS DDNS hunting (Edge Query 5) and outbound beaconing patterns.
T1105,command-and-control,0,Blind spot,Ingress Tool Transfer. Not covered.
T1041,exfiltration,1,Hunting only / partial,Exfil over C2 Channel. [v3 UPLIFT 0->1] Partial via NetFlow byte-volume anomalies on KV-botnet beaconing channels.
T1567,exfiltration,0,Blind spot,Exfil over Web Service. Not covered without proxy/NDR logs.
